iter	Passed	Remaining
0	5	5963
1	12	6426
2	18	6149
3	23	5881
4	29	5773
5	33	5470
6	37	5376
7	43	5406
8	48	5349
9	53	5296
10	59	5333
11	64	5283
12	69	5263
13	75	5296
14	80	5303
15	85	5279
16	91	5292
17	96	5271
18	101	5262
19	107	5249
20	112	5222
21	117	5205
22	122	5196
23	127	5181
24	132	5154
25	137	5150
26	142	5126
27	146	5099
28	151	5079
29	156	5073
30	161	5048
31	166	5022
32	170	4994
33	175	4992
34	180	4983
35	185	4980
36	190	4969
37	195	4959
38	201	4960
39	206	4949
40	210	4929
41	213	4864
42	218	4858
43	222	4845
44	227	4830
45	232	4822
46	237	4816
47	242	4818
48	248	4817
49	253	4809
50	258	4811
51	264	4820
52	269	4811
53	273	4794
54	278	4782
55	282	4764
56	286	4747
57	291	4729
58	296	4722
59	300	4711
60	305	4708
61	310	4699
62	315	4688
63	319	4677
64	324	4668
65	329	4668
66	334	4660
67	339	4656
68	344	4653
69	350	4656
70	356	4664
71	361	4658
72	366	4654
73	371	4651
74	376	4638
75	380	4623
76	384	4611
77	389	4608
78	394	4595
79	398	4582
80	403	4577
81	407	4567
82	412	4555
83	416	4545
84	421	4538
85	426	4530
86	430	4518
87	435	4512
88	439	4499
89	444	4493
90	448	4482
91	453	4474
92	457	4461
93	461	4450
94	466	4444
95	471	4435
96	475	4427
97	480	4425
98	485	4418
99	489	4406
100	493	4396
101	499	4393
102	503	4381
103	507	4369
104	511	4360
105	516	4353
106	520	4344
107	524	4331
108	529	4324
109	532	4311
110	536	4300
111	541	4292
112	546	4290
113	550	4279
114	554	4269
115	559	4265
116	564	4259
117	568	4251
118	573	4243
119	578	4240
120	582	4234
121	587	4228
122	592	4224
123	596	4216
124	601	4208
125	605	4200
126	610	4198
127	615	4193
128	619	4185
129	624	4180
130	628	4172
131	633	4163
132	637	4154
133	642	4149
134	646	4140
135	650	4132
136	654	4125
137	659	4116
138	663	4109
139	668	4105
140	673	4104
141	678	4099
142	682	4092
143	687	4088
144	692	4082
145	696	4073
146	700	4066
147	705	4059
148	709	4053
149	715	4053
150	721	4053
151	725	4048
152	730	4041
153	735	4039
154	739	4032
155	743	4023
156	748	4021
157	753	4016
158	758	4009
159	762	4001
160	767	3999
161	771	3993
162	776	3986
163	780	3980
164	785	3975
165	789	3967
166	793	3959
167	798	3953
168	803	3949
169	807	3942
170	811	3935
171	816	3928
172	820	3921
173	824	3914
174	829	3910
175	834	3905
176	839	3901
177	843	3897
178	848	3892
179	853	3886
180	858	3883
181	863	3880
182	868	3876
183	873	3872
184	878	3870
185	883	3864
186	887	3859
187	893	3858
188	898	3853
189	902	3847
190	907	3842
191	911	3835
192	915	3828
193	919	3820
194	924	3816
195	929	3812
196	934	3807
197	939	3803
198	943	3799
199	948	3793
200	953	3789
201	958	3784
202	962	3778
203	966	3771
204	971	3768
205	976	3763
206	981	3759
207	986	3756
208	991	3753
209	996	3749
210	1001	3746
211	1006	3742
212	1011	3736
213	1015	3729
214	1020	3725
215	1024	3719
216	1029	3715
217	1035	3713
218	1039	3706
219	1044	3702
220	1048	3696
221	1053	3693
222	1058	3687
223	1062	3681
224	1067	3677
225	1073	3675
226	1078	3673
227	1086	3679
228	1093	3682
229	1101	3688
230	1107	3687
231	1114	3690
232	1120	3690
233	1127	3690
234	1133	3689
235	1140	3691
236	1145	3687
237	1149	3681
238	1155	3678
239	1161	3676
240	1166	3672
241	1171	3668
242	1176	3664
243	1181	3660
244	1185	3654
245	1190	3647
246	1195	3643
247	1199	3637
248	1204	3632
249	1209	3627
250	1213	3622
251	1218	3616
252	1222	3609
253	1227	3605
254	1232	3599
255	1236	3594
256	1242	3591
257	1246	3584
258	1251	3579
259	1256	3577
260	1262	3573
261	1266	3567
262	1271	3562
263	1275	3556
264	1280	3551
265	1284	3544
266	1289	3539
267	1294	3535
268	1299	3531
269	1306	3533
270	1312	3530
271	1318	3527
272	1323	3523
273	1328	3519
274	1332	3513
275	1338	3510
276	1342	3505
277	1347	3499
278	1352	3495
279	1357	3490
280	1362	3486
281	1367	3482
282	1372	3478
283	1377	3472
284	1382	3467
285	1387	3463
286	1392	3458
287	1396	3453
288	1401	3449
289	1406	3443
290	1411	3439
291	1416	3434
292	1421	3430
293	1426	3425
294	1431	3421
295	1436	3416
296	1440	3410
297	1445	3405
298	1450	3400
299	1458	3403
300	1466	3405
301	1473	3406
302	1479	3404
303	1485	3401
304	1490	3396
305	1495	3391
306	1500	3386
307	1505	3381
308	1510	3378
309	1515	3373
310	1521	3370
311	1526	3366
312	1532	3362
313	1537	3358
314	1542	3354
315	1547	3348
316	1552	3344
317	1558	3342
318	1563	3337
319	1567	3331
320	1572	3326
321	1578	3322
322	1582	3317
323	1588	3313
324	1593	3309
325	1598	3304
326	1603	3300
327	1608	3295
328	1613	3290
329	1618	3285
330	1623	3282
331	1628	3277
332	1633	3272
333	1640	3270
334	1645	3266
335	1650	3260
336	1655	3257
337	1661	3255
338	1667	3250
339	1672	3246
340	1677	3242
341	1683	3238
342	1688	3233
343	1693	3228
344	1697	3223
345	1703	3220
346	1708	3214
347	1713	3209
348	1718	3205
349	1723	3200
350	1728	3195
351	1734	3192
352	1739	3187
353	1744	3182
354	1749	3178
355	1755	3174
356	1759	3169
357	1765	3165
358	1769	3160
359	1774	3154
360	1779	3149
361	1783	3144
362	1788	3138
363	1793	3133
364	1798	3128
365	1803	3123
366	1808	3118
367	1813	3115
368	1818	3110
369	1823	3104
370	1828	3100
371	1833	3095
372	1838	3090
373	1844	3086
374	1849	3081
375	1854	3076
376	1859	3072
377	1864	3067
378	1868	3062
379	1873	3056
380	1878	3051
381	1882	3045
382	1886	3039
383	1892	3036
384	1897	3030
385	1901	3025
386	1907	3020
387	1911	3015
388	1916	3009
389	1920	3004
390	1925	2999
391	1930	2993
392	1934	2988
393	1940	2983
394	1944	2978
395	1949	2972
396	1953	2967
397	1958	2962
398	1963	2956
399	1967	2951
400	1972	2947
401	1977	2941
402	1982	2936
403	1987	2931
404	1991	2925
405	1996	2920
406	2001	2915
407	2005	2910
408	2010	2904
409	2015	2899
410	2020	2895
411	2025	2890
412	2029	2884
413	2035	2880
414	2040	2875
415	2044	2869
416	2049	2864
417	2053	2859
418	2058	2854
419	2063	2849
420	2068	2845
421	2073	2839
422	2077	2833
423	2082	2828
424	2087	2823
425	2091	2818
426	2096	2813
427	2101	2808
428	2106	2803
429	2110	2798
430	2115	2793
431	2120	2788
432	2125	2783
433	2130	2778
434	2135	2773
435	2140	2768
436	2145	2763
437	2149	2758
438	2154	2753
439	2160	2749
440	2165	2745
441	2170	2740
442	2175	2735
443	2180	2730
444	2184	2724
445	2189	2719
446	2194	2714
447	2198	2709
448	2203	2703
449	2208	2699
450	2213	2694
451	2218	2689
452	2223	2685
453	2228	2680
454	2233	2675
455	2238	2669
456	2243	2665
457	2248	2660
458	2253	2655
459	2259	2652
460	2264	2647
461	2269	2642
462	2275	2638
463	2280	2634
464	2286	2630
465	2291	2625
466	2296	2620
467	2300	2615
468	2306	2610
469	2310	2605
470	2315	2600
471	2320	2595
472	2325	2590
473	2329	2585
474	2334	2580
475	2339	2575
476	2344	2570
477	2348	2564
478	2353	2559
479	2357	2554
480	2362	2549
481	2367	2544
482	2371	2538
483	2376	2533
484	2381	2529
485	2386	2524
486	2391	2519
487	2395	2513
488	2400	2508
489	2405	2503
490	2410	2498
491	2415	2494
492	2420	2488
493	2424	2483
494	2429	2479
495	2434	2474
496	2440	2469
497	2445	2464
498	2449	2459
499	2454	2454
500	2458	2449
501	2463	2443
502	2467	2438
503	2472	2433
504	2478	2429
505	2482	2423
506	2487	2418
507	2492	2413
508	2497	2409
509	2502	2404
510	2507	2399
511	2512	2394
512	2517	2389
513	2521	2384
514	2526	2379
515	2531	2374
516	2535	2368
517	2540	2364
518	2545	2358
519	2549	2353
520	2554	2348
521	2558	2343
522	2563	2338
523	2567	2332
524	2572	2327
525	2577	2322
526	2581	2317
527	2586	2312
528	2591	2307
529	2595	2301
530	2600	2296
531	2605	2291
532	2609	2286
533	2614	2281
534	2620	2277
535	2624	2272
536	2629	2267
537	2634	2262
538	2639	2257
539	2644	2252
540	2648	2247
541	2654	2242
542	2658	2237
543	2664	2233
544	2669	2228
545	2674	2223
546	2678	2218
547	2684	2214
548	2688	2208
549	2693	2203
550	2698	2198
551	2702	2193
552	2707	2188
553	2712	2183
554	2716	2178
555	2721	2173
556	2726	2168
557	2731	2163
558	2735	2158
559	2740	2152
560	2744	2147
561	2749	2143
562	2754	2137
563	2758	2132
564	2763	2128
565	2768	2123
566	2773	2118
567	2779	2113
568	2784	2108
569	2788	2103
570	2793	2098
571	2798	2093
572	2802	2088
573	2807	2083
574	2812	2078
575	2817	2074
576	2822	2069
577	2828	2065
578	2833	2060
579	2838	2055
580	2843	2050
581	2847	2045
582	2852	2039
583	2856	2034
584	2861	2030
585	2866	2024
586	2871	2020
587	2876	2015
588	2881	2010
589	2891	2009
590	2895	2003
591	2901	2000
592	2908	1996
593	2914	1992
594	2924	1990
595	2930	1986
596	2938	1983
597	2945	1979
598	2951	1976
599	2958	1972
600	2966	1969
601	2983	1972
602	2996	1972
603	3005	1970
604	3016	1969
605	3023	1965
606	3029	1961
607	3036	1957
608	3043	1953
609	3049	1949
610	3055	1945
611	3061	1940
612	3067	1936
613	3073	1931
614	3078	1926
615	3083	1922
616	3088	1917
617	3094	1912
618	3100	1908
619	3106	1903
620	3112	1899
621	3117	1894
622	3123	1889
623	3128	1885
624	3134	1880
625	3139	1875
626	3145	1871
627	3150	1866
628	3155	1861
629	3161	1856
630	3166	1851
631	3172	1847
632	3178	1843
633	3184	1838
634	3189	1833
635	3195	1829
636	3201	1824
637	3207	1819
638	3212	1814
639	3217	1810
640	3223	1805
641	3228	1800
642	3233	1795
643	3238	1790
644	3244	1785
645	3249	1780
646	3254	1775
647	3259	1770
648	3264	1765
649	3268	1760
650	3273	1755
651	3278	1749
652	3283	1744
653	3288	1739
654	3293	1734
655	3298	1729
656	3303	1724
657	3308	1719
658	3313	1714
659	3317	1709
660	3322	1704
661	3326	1698
662	3331	1693
663	3335	1688
664	3340	1682
665	3345	1677
666	3350	1672
667	3355	1667
668	3360	1662
669	3365	1657
670	3369	1652
671	3374	1647
672	3379	1641
673	3384	1637
674	3388	1631
675	3393	1626
676	3397	1621
677	3402	1615
678	3406	1610
679	3411	1605
680	3416	1600
681	3421	1595
682	3426	1590
683	3431	1585
684	3435	1579
685	3440	1574
686	3445	1569
687	3451	1565
688	3455	1559
689	3460	1554
690	3465	1549
691	3469	1544
692	3474	1539
693	3479	1534
694	3483	1528
695	3488	1523
696	3493	1518
697	3498	1513
698	3503	1508
699	3508	1503
700	3512	1498
701	3517	1493
702	3522	1488
703	3527	1483
704	3532	1478
705	3537	1472
706	3542	1468
707	3546	1462
708	3551	1457
709	3556	1452
710	3561	1447
711	3565	1442
712	3570	1437
713	3575	1432
714	3580	1427
715	3585	1422
716	3592	1417
717	3596	1412
718	3601	1407
719	3606	1402
720	3611	1397
721	3615	1392
722	3620	1387
723	3625	1381
724	3630	1376
725	3635	1371
726	3639	1366
727	3644	1361
728	3649	1356
729	3654	1351
730	3658	1346
